metric_id,journey_or_node_id,layer,name,definition,unit,source,population,cadence,owner,direction,baseline,target,evidence_ids,evidence_status
MET-0001,JRN-CUST-SAAS-ONBOARD-001,actor-outcome,First team value within 30 days,"Cohort accounts that meet the threshold within 30 days of signature / all cohort accounts (cancellations stay in the denominator). Threshold: in one rolling 7-day window, 3 or more distinct users each create, approve or send an invoice and 5 or more real (non-test) invoices are sent. Reported split by external accountant vs in-house once the field exists",% of accounts,Product events; baseline EVD-2026-0001,"New accounts with 3+ seats, by signature-month cohort","monthly cohort, readable 30 days after the cohort month closes",Director of Customer Onboarding,increase,"34% (Jan-May 2026 cohorts, n=412)",42% for cohorts signed Jan-Mar 2027 (n about 240; see stats.md for the detectable change),EVD-2026-0001;EVD-2026-0006,inferred
MET-0002,NOD-CUST-SAAS-ONBOARD-001-03,behavior,Days to first synced real invoice,"Per account, calendar days from signature to the first non-test invoice that posts to the ledger without rejection; report median and p90; accounts with no synced invoice by day 30 reported separately as a share","days (median, p90)",Product events + sync log; baseline EVD-2026-0021,Cohort accounts that attempt a ledger sync,monthly cohort,"Product Manager, Accounting Integrations",decrease,median 12 among 284 accounts with a synced invoice (p90 not yet cut),median 9 or fewer for Q1 2027 cohorts; expected to move MET-0001 (edge inferred),EVD-2026-0002;EVD-2026-0021,observed
MET-0003,NOD-CUST-SAAS-ONBOARD-001-02-02,operational,First-attempt sync success rate,Accounts whose first sync attempt posts without a mapping or tax-rate rejection / accounts making a first sync attempt in the month,% of accounts,Connector sync error log; baseline EVD-2026-0003,Accounts making a first sync attempt in the month (about 64 a month),"monthly, with a rolling 8-week p-chart; act on a control-limit breach","Product Manager, Accounting Integrations",increase,61% (n=321),80% for the two vendors with a change feed by end of Q1 2027; expected to move MET-0002 (edge inferred),EVD-2026-0003,observed
MET-0004,NOD-CUST-SAAS-ONBOARD-001-02-02,operational,Set-up session lead time,"Flow metric: per request, business days from request to session held, reported for requests made in the month; requests still open at month end are censored and reported as the share still waiting after 10 business days; median and p90","business days (median, p90)",Scheduling records; baseline EVD-2026-0009,Session requests submitted through the form in the month,monthly,Onboarding Operations Lead,decrease,median 6 (n=187),none until the edge to MET-0003 is checked,EVD-2026-0009,observed
MET-0005,NOD-CUST-SAAS-ONBOARD-001-04-02,behavior,Teammate invite sent within 14 days,Cohort accounts sending at least one teammate invite within 14 days of signature / cohort accounts,% of accounts,Product events (invite_sent); 30-day rate in EVD-2026-0008,"New accounts with 3+ seats, by signature-month cohort",monthly cohort,Product Analytics Lead,increase,"not yet measured; only the 30-day rate exists (58%, EVD-2026-0008), which is not the same metric",set after baseline,EVD-2026-0008,observed
MET-0006,NOD-CUST-SAAS-ONBOARD-001-03,experience,Admin confidence that invoices post correctly,Admins answering 4 or 5 to 'I am confident that invoices sent from Ledgerly match my books' (1-5) / admins answering; asked in product 3 days after the first synced invoice; report response rate,% of respondents,New in-product question (not yet built),Admins of accounts with a first synced invoice,monthly,Research Operations Lead,increase,not yet measured,set after 2 months of baseline,,hypothesis
MET-0007,NOD-CUST-SAAS-ONBOARD-001-01,behavior,Admin logged in within 7 days,Cohort accounts with at least one admin login within 7 days of signature / cohort accounts,% of accounts,Product events (login); baseline EVD-2026-0001,"New accounts with 3+ seats, by signature-month cohort",monthly cohort,Product Analytics Lead,increase,89% (367/412),set after OPP-0007 research,EVD-2026-0001,observed
MET-0008,NOD-CUST-SAAS-ONBOARD-001-02-02,employee-service,Specialist minutes on mapping per session,"Minutes of a set-up session spent on tax-rate and account mapping, per session; median",minutes (median),Session observation sample; baseline EVD-2026-0011,Set-up sessions held,quarterly sample of 10 sessions,Onboarding Operations Lead,decrease,22 of 45 (n=11),none until the edge to MET-0004 is checked,EVD-2026-0011,inferred
MET-0009,LFC-CUST-SMB-RELATIONSHIP-001,business,90-day logo retention of new accounts,Cohort accounts still paying 90 days after signature / cohort accounts,% of accounts,Billing records; baseline EVD-2026-0016,"New accounts with 3+ seats, by signature-month cohort","monthly cohort, readable at day 91",VP Customer Success,increase,"86% (Jul 2025-Feb 2026 cohorts, n=604)",none this quarter; lagging context,EVD-2026-0016,observed
MET-0010,JRN-CUST-SAAS-ONBOARD-001,guardrail,Specialist hours per new account,Specialist hours logged against onboarding cases in the month / accounts with an onboarding case opened in the month,hours per account,Scheduling records; baseline EVD-2026-0009,Accounts with an onboarding case,monthly,Onboarding Operations Lead,maintain,1.4,must not exceed 1.6,EVD-2026-0009,inferred
