node_id,journey_id,parent_node_id,node_type,sequence,name,actor_goal,evidence_ids,evidence_status
NOD-CUST-SAAS-ONBOARD-001-01,JRN-CUST-SAAS-ONBOARD-001,,stage,1,Take control of the account,Get into the account and work out what has to happen before the team can use it,EVD-2026-0001;EVD-2026-0015;EVD-2026-0014,hypothesis
NOD-CUST-SAAS-ONBOARD-001-02,JRN-CUST-SAAS-ONBOARD-001,,stage,2,Connect existing financial records,"Make Ledgerly agree with the books the business already keeps, up to the first invoice the ledger accepts",EVD-2026-0002;EVD-2026-0003;EVD-2026-0004;EVD-2026-0005;EVD-2026-0011;EVD-2026-0021,observed
NOD-CUST-SAAS-ONBOARD-001-02-01,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02,episode,1,Authorize the ledger connection,Link the accounting ledger without risking existing records,EVD-2026-0003,inferred
NOD-CUST-SAAS-ONBOARD-001-02-02,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02,episode,2,Agree how invoices land in the books,"Decide which tax rates and revenue accounts invoices post to, correctly the first time",EVD-2026-0003;EVD-2026-0004;EVD-2026-0005;EVD-2026-0007;EVD-2026-0009;EVD-2026-0011;EVD-2026-0017,observed
NOD-CUST-SAAS-ONBOARD-001-02-03,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02,episode,3,Bring in customers and items,Avoid retyping customer and product lists,EVD-2026-0004,unknown
NOD-CUST-SAAS-ONBOARD-001-03,JRN-CUST-SAAS-ONBOARD-001,,stage,3,Prove it on a real invoice,See one real invoice go out and land correctly in the books before relying on it,EVD-2026-0002;EVD-2026-0006;EVD-2026-0021,inferred
NOD-CUST-SAAS-ONBOARD-001-04,JRN-CUST-SAAS-ONBOARD-001,,stage,4,Bring the team in,Hand invoicing work to colleagues without losing control of what is sent,EVD-2026-0006;EVD-2026-0008;EVD-2026-0019;EVD-2026-0020,inferred
NOD-CUST-SAAS-ONBOARD-001-04-01,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04,episode,1,Decide who may approve and send,Set who can send what so mistakes do not reach customers,EVD-2026-0019;EVD-2026-0020,observed
NOD-CUST-SAAS-ONBOARD-001-04-02,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04,episode,2,Invite teammates and hand over work,Get the right colleagues working in Ledgerly,EVD-2026-0008;EVD-2026-0013,observed
NOD-CUST-SAAS-ONBOARD-001-05,JRN-CUST-SAAS-ONBOARD-001,,stage,5,Make Ledgerly the team's normal way of invoicing,Stop running the old way alongside and stop checking every posting by hand,EVD-2026-0001;EVD-2026-0006,inferred
NOD-CUST-SAAS-ONBOARD-002-01,JRN-CUST-SAAS-ONBOARD-002,,stage,1,Take control and name who confirms the books,Get in and say up front who decides how invoices post,EVD-2026-0005;EVD-2026-0007;EVD-2026-0017,hypothesis
NOD-CUST-SAAS-ONBOARD-002-02,JRN-CUST-SAAS-ONBOARD-002,,stage,2,Send a first real invoice,"Get one real invoice to a customer early, while the books connection is still being confirmed",EVD-2026-0002;EVD-2026-0006,hypothesis
NOD-CUST-SAAS-ONBOARD-002-03,JRN-CUST-SAAS-ONBOARD-002,,stage,3,Confirm how invoices land in the books,Have the right person approve the mapping and see the result,EVD-2026-0003;EVD-2026-0007,hypothesis
NOD-CUST-SAAS-ONBOARD-002-03-01,JRN-CUST-SAAS-ONBOARD-002,NOD-CUST-SAAS-ONBOARD-002-03,episode,1,Accountant reviews the proposed mapping,"Accountant confirms or corrects the mapping with context, without a paid seat",EVD-2026-0007,hypothesis
NOD-CUST-SAAS-ONBOARD-002-03-02,JRN-CUST-SAAS-ONBOARD-002,NOD-CUST-SAAS-ONBOARD-002-03,episode,2,Check the first posted invoice against the books,Admin sees evidence that the posted invoice matches the ledger,EVD-2026-0006,hypothesis
NOD-CUST-SAAS-ONBOARD-002-04,JRN-CUST-SAAS-ONBOARD-002,,stage,4,Bring the team in,"Colleagues start with rules already set, so their first week has no surprise blocks",EVD-2026-0008;EVD-2026-0019;EVD-2026-0020,hypothesis
NOD-CUST-SAAS-ONBOARD-002-05,JRN-CUST-SAAS-ONBOARD-002,,stage,5,Make Ledgerly the team's normal way of invoicing,Same as current-state stage 5,EVD-2026-0001,hypothesis
