node_id,row_type,text,evidence_ids,evidence_status,valence
NOD-CUST-SAAS-ONBOARD-001-01,action,Logs in for the first time (89% of admins within 7 days),EVD-2026-0001,observed,
NOD-CUST-SAAS-ONBOARD-001-01,action,Opens the set-up checklist,EVD-2026-0015,observed,
NOD-CUST-SAAS-ONBOARD-001-01,touchpoint,Set-up checklist,EVD-2026-0015,observed,
NOD-CUST-SAAS-ONBOARD-001-01,touchpoint,Welcome email,,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-01,channel,Product (web app),EVD-2026-0001,observed,
NOD-CUST-SAAS-ONBOARD-001-01,channel,Email,,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-01,expectation,Expects to be told what to do first (not researched),,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-01,question,"What do I need to do first, and does it have to be now?",EVD-2026-0023,unknown,
NOD-CUST-SAAS-ONBOARD-001-02,action,"Connects the ledger, maps tax rates and accounts, imports lists",EVD-2026-0003,observed,
NOD-CUST-SAAS-ONBOARD-001-02,channel,Product (web app),EVD-2026-0003,observed,
NOD-CUST-SAAS-ONBOARD-001-02,channel,Help desk by email and chat,EVD-2026-0004,observed,
NOD-CUST-SAAS-ONBOARD-001-02,channel,Video call (accounts with 10+ seats),EVD-2026-0011,observed,
NOD-CUST-SAAS-ONBOARD-001-02,expectation,Expects to finish set-up alone (said by 5 of 14 admins),EVD-2026-0005,inferred,
NOD-CUST-SAAS-ONBOARD-001-02,emotion,"Looking back at day 30, respondents call set-up easy (71% agree; survey skewed to accounts that got further; reading an ease rating as feeling is interpretation)",EVD-2026-0012,inferred,1
NOD-CUST-SAAS-ONBOARD-001-02,question,Do I need to connect my ledger at all?,EVD-2026-0024,unknown,
NOD-CUST-SAAS-ONBOARD-001-02-01,action,Signs in to the ledger and grants access,EVD-2026-0003,observed,
NOD-CUST-SAAS-ONBOARD-001-02-01,touchpoint,Connection wizard,EVD-2026-0003,inferred,
NOD-CUST-SAAS-ONBOARD-001-02-01,expectation,Expects linking not to change existing records,,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-02-02,action,Scans the auto-matched tax-rate and account pairs,EVD-2026-0005,inferred,
NOD-CUST-SAAS-ONBOARD-001-02-02,action,Screenshots the mapping screen and emails it to the accountant,EVD-2026-0005;EVD-2026-0007,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,action,Phones the accountant during the set-up session (7 of 11 sessions),EVD-2026-0011,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,touchpoint,Mapping screen,EVD-2026-0003,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,touchpoint,Set-up session with a specialist,EVD-2026-0011,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,channel,Email outside Ledgerly,EVD-2026-0005;EVD-2026-0007,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,channel,Phone,EVD-2026-0011,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,expectation,"Quote (S03, fictional): ""I assumed it would pick up my tax codes""",EVD-2026-0005,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,thought,Paraphrase: I don't know when my accountant will get back to me,EVD-2026-0005,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,thought,"Accountant's view, paraphrase: I get a screenshot with no idea what the client invoices",EVD-2026-0007,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,pain,First real invoice rejected by the ledger (39% of first sync attempts),EVD-2026-0003,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,pain,Waits on the accountant with no date and no way to see the wait,EVD-2026-0005,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,pain,Error message does not say which pair caused the rejection,EVD-2026-0003;EVD-2026-0004,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,pain,Accounts under 10 seats are declined a live session; others wait a median 6 business days,EVD-2026-0009;EVD-2026-0010,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,workaround,Sends screenshots to the accountant by email,EVD-2026-0005;EVD-2026-0007,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,workaround,Enters the closest-looking tax code to keep moving,EVD-2026-0003;EVD-2026-0017,inferred,
NOD-CUST-SAAS-ONBOARD-001-02-02,emotion,Stuck and unsure while the question sits with the accountant,EVD-2026-0005,inferred,-1
NOD-CUST-SAAS-ONBOARD-001-02-02,emotion,"In-house bookkeeper variant: at ease, mapping done in one sitting",EVD-2026-0017,inferred,1
NOD-CUST-SAAS-ONBOARD-001-02-02,question,Why did my invoice fail to sync?,EVD-2026-0004,observed,
NOD-CUST-SAAS-ONBOARD-001-02-02,question,Does my accountant need to be involved at all?,EVD-2026-0018,unknown,
NOD-CUST-SAAS-ONBOARD-001-02-03,action,Imports customer and item lists,EVD-2026-0004,inferred,
NOD-CUST-SAAS-ONBOARD-001-02-03,pain,Import problems reach the help desk (9% of tickets); not researched further,EVD-2026-0004,observed,
NOD-CUST-SAAS-ONBOARD-001-03,action,Sends one real invoice to a customer,EVD-2026-0002,observed,
NOD-CUST-SAAS-ONBOARD-001-03,action,Opens the ledger and compares totals and tax by hand,EVD-2026-0006,observed,
NOD-CUST-SAAS-ONBOARD-001-03,touchpoint,Sync status on the invoice,EVD-2026-0002,inferred,
NOD-CUST-SAAS-ONBOARD-001-03,touchpoint,"The ledger, outside Ledgerly",EVD-2026-0006,observed,
NOD-CUST-SAAS-ONBOARD-001-03,channel,Product (web app),EVD-2026-0002,observed,
NOD-CUST-SAAS-ONBOARD-001-03,expectation,Expects one real invoice to prove the numbers land right,EVD-2026-0006,observed,
NOD-CUST-SAAS-ONBOARD-001-03,thought,"Quote (S07, fictional): ""I'm not putting my team on it until I know the numbers land right""",EVD-2026-0006,observed,
NOD-CUST-SAAS-ONBOARD-001-03,pain,Nothing in Ledgerly shows whether the posting matches the ledger,EVD-2026-0006,inferred,
NOD-CUST-SAAS-ONBOARD-001-03,workaround,Checks every posting in the ledger by hand,EVD-2026-0006,observed,
NOD-CUST-SAAS-ONBOARD-001-03,emotion,Wary: holds back trust until one invoice is proven,EVD-2026-0006,inferred,-1
NOD-CUST-SAAS-ONBOARD-001-03,question,Did it land in my books correctly?,EVD-2026-0006,inferred,
NOD-CUST-SAAS-ONBOARD-001-04,action,Invites teammates (58% of accounts within 30 days),EVD-2026-0008,observed,
NOD-CUST-SAAS-ONBOARD-001-04,action,Hands invoices over to colleagues,,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-04,channel,Email (invitations),EVD-2026-0008,observed,
NOD-CUST-SAAS-ONBOARD-001-04,expectation,Expects teammates to start straight away (not researched),,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-04,pain,Team start waits until accounting set-up is proven,EVD-2026-0006;EVD-2026-0021,inferred,
NOD-CUST-SAAS-ONBOARD-001-04,question,What will my colleagues run into when they join?,EVD-2026-0025,unknown,
NOD-CUST-SAAS-ONBOARD-001-04-01,action,"Sets approval rules, often after teammates have started",EVD-2026-0019,observed,
NOD-CUST-SAAS-ONBOARD-001-04-01,touchpoint,Roles and approvals screen,EVD-2026-0019,inferred,
NOD-CUST-SAAS-ONBOARD-001-04-01,pain,Teammates hit an unexplained 'you cannot send this invoice' block in week 1,EVD-2026-0019;EVD-2026-0020,observed,
NOD-CUST-SAAS-ONBOARD-001-04-01,workaround,Teammate raises a ticket rather than asking the admin (61% of permission tickets),EVD-2026-0020,observed,
NOD-CUST-SAAS-ONBOARD-001-04-01,emotion,Teammate: confused when permissions change mid-week,EVD-2026-0019,inferred,-1
NOD-CUST-SAAS-ONBOARD-001-04-01,question,Why can't I send this invoice?,EVD-2026-0020,observed,
NOD-CUST-SAAS-ONBOARD-001-04-02,action,Sends invitations; 84% are accepted within 7 days,EVD-2026-0008,observed,
NOD-CUST-SAAS-ONBOARD-001-04-02,touchpoint,Invitation email,EVD-2026-0008,observed,
NOD-CUST-SAAS-ONBOARD-001-05,action,"Team creates, approves and sends real invoices in Ledgerly (34% of accounts by day 30)",EVD-2026-0001,observed,
NOD-CUST-SAAS-ONBOARD-001-05,action,Admin stops checking postings by hand,EVD-2026-0006,inferred,
NOD-CUST-SAAS-ONBOARD-001-05,channel,Product (web app),EVD-2026-0001,observed,
NOD-CUST-SAAS-ONBOARD-001-05,expectation,Expects Ledgerly to become the one place invoicing happens,,hypothesis,
NOD-CUST-SAAS-ONBOARD-001-05,emotion,Relief at no longer checking every posting,,hypothesis,1
NOD-CUST-SAAS-ONBOARD-002-01,action,Names at first login who confirms the books and invites them to review,,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-02,action,Sends a first real invoice on day 1-3 while posting is held,,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-02,expectation,Expects the invoice to reach the books once the mapping is confirmed,,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-03,touchpoint,Open-question status showing who holds the mapping and since when,,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-03-01,action,Accountant approves or corrects flagged pairs through a scoped link,,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-03-01,channel,Review link (no seat),,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-03-02,action,Compares the posted invoice with its ledger entry and marks it verified,,hypothesis,
NOD-CUST-SAAS-ONBOARD-002-03-02,emotion,Reassured by seeing the posting next to the ledger entry,,hypothesis,1
NOD-CUST-SAAS-ONBOARD-002-04,expectation,Expects permissions to stay stable through the first week,,hypothesis,
