evidence_id,source_type,source_reference,collected_at,population_or_sample,journey_id,node_id,finding,evidence_status,limitations
EVD-2026-0001,analytics,"Product event export, cohort funnel query v3 (AN-01)",2026-07-08,New accounts with 3+ seats signed 2026-01-01 to 2026-05-31 (n=412),JRN-CUST-SAAS-ONBOARD-001,,34% of accounts (140/412) met the first-team-value threshold within 30 days of signature; 89% (367/412) had an admin login within 7 days and 11% (45/412) had none,observed,"The first-team-value threshold is an analytics convention, not validated with customers; reasons for non-login are not visible in events"
EVD-2026-0002,analytics,Product event export joined to ledger sync log (AN-02),2026-07-08,New accounts with 3+ seats signed 2026-01-01 to 2026-05-31 (n=412),JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-03,Median 12 days from signature to first real invoice synced to the ledger; median 23 days where the first sync attempt failed vs 9 days where it succeeded; 22% never attempted a ledger connection within 30 days.,observed,Correlation only: failing and slow accounts may differ in size or ledger vendor; re-cut on attempters in EVD-2026-0021
EVD-2026-0003,operational-record,Ledger connector sync error log (OR-01) and case trace (OR-02),2026-07-10,"All first sync attempts in cohort (n=321 accounts, 78% of cohort); trace of 30 rejected first postings",JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,"39% of first sync attempts failed; 72% of failures were tax-rate or revenue-account mapping mismatches. The auto-matcher assigns unmatched tax rates to the ledger's default code without flagging them; in a trace of 30 rejected first postings, 22 carried that default code and the other 8 carried a pair the admin had edited by hand",observed,Error categories come from connector codes; the 30-case trace was a convenience sample of the most recent rejections; one ledger vendor's errors are coded less specifically
EVD-2026-0004,support-log,"Help desk tickets, first 45 days after signature (SL-01)",2026-07-15,"1,240 tickets from the cohort",JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,"38% of tickets tagged sync or mapping, 17% roles and permissions, 9% import; mapping tickets have the highest reopen rate (27%)",observed,Tags applied by agents with inconsistent rules; customers who never contact support are absent; ticket closure rules were not reviewed
EVD-2026-0005,interview,"Admin interviews round 1, notes S01-S14",2026-07-24,"14 admins: 9 from accounts that had not met the threshold by day 30, 5 from accounts that had",JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,6 of 9 admins from stalled accounts said set-up paused while they waited for their accountant to confirm which tax codes and accounts to use; several sent screenshots by email and did not know when to expect a reply,observed,"Recruited from admins who answered an email invitation; no admins from never-logged-in accounts; counts describe the sample, not the population"
EVD-2026-0006,interview,"Admin interviews round 1, notes S01-S14",2026-07-24,Same 14 admins as EVD-2026-0005,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-03,8 of 14 admins said they would not put their team on Ledgerly until one real invoice had landed correctly in the books; admins from stalled accounts described checking the ledger by hand after each sync,observed,Stated intent (said) plus reported behaviour; not linked to each admin's invite events
EVD-2026-0007,interview,"Accountant interviews, notes A01-A04",2026-08-02,4 external accountants from 2 firms serving Ledgerly customers,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,Accountants receive mapping questions as screenshots with no context about the client's plan or invoice types; 3 of 4 said clients do not give them a login because each login costs a paid seat; none are paid for this work,observed,Very small sample from 2 firms recruited through one customer referral
EVD-2026-0008,analytics,"Product event export, invite events (AN-03)",2026-07-08,New accounts with 3+ seats signed 2026-01-01 to 2026-05-31 (n=412),JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-04-02,84% of sent invites were accepted within 7 days; 58% of accounts sent at least one invite within 30 days of signature,observed,"Acceptance measured per invite, not per account; bounced emails are not logged separately; 14-day invite rate not yet cut"
EVD-2026-0009,operational-record,Onboarding session scheduling records (OR-03),2026-07-12,All session requests from the cohort submitted through the request form (n=187),JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,Median 6 business days from session request to session; 31% of requests came from accounts under 10 seats and were declined under the tier policy; specialists logged a median 1.4 hours per onboarded account,observed,Requests made through chat are not captured; logged hours are self-reported
EVD-2026-0010,document,"Onboarding and pricing policy v4, effective 2025-10-01 (DOC-01)",2026-06-30,Policy document,JRN-CUST-SAAS-ONBOARD-001,NOD-CUST-SAAS-ONBOARD-001-02-02,"Live set-up sessions are offered only to accounts with 10 or more seats; every login, including external advisers, consumes a paid seat",observed,"States policy, not how exceptions are granted in practice"
